10em1_10.4.png: |PSPI 2.04 |au4 0.08 |au6 -0.06 |au7 0.08 |au9 0.20 |au10 1.80 |au12 0.02 |au20 -0.02 |au25 -0.03 |au26 -0.06 |au43 0.02|
26em1_26.4.png: |PSPI 0.72 |au4 0.47 |au6 -0.12 |au7 0.41 |au9 -0.04 |au10 -0.03 |au12 -0.01 |au20 -0.02 |au25 0.28 |au26 0.49 |au43 0.02|
26em1_26.6.png: |PSPI 0.45 |au4 0.36 |au6 -0.14 |au7 0.30 |au9 -0.04 |au10 -0.04 |au12 -0.01 |au20 -0.06 |au25 0.40 |au26 1.35 |au43 0.01|
6em1_6.10.png: |PSPI 4.32 |au4 0.14 |au6 3.40 |au7 0.91 |au9 -0.08 |au10 -0.02 |au12 0.05 |au20 0.04 |au25 -0.02 |au26 -0.22 |au43 -0.03|
6em1_6.2.png: |PSPI 1.26 |au4 0.31 |au6 -0.03 |au7 0.96 |au9 -0.03 |au10 0.04 |au12 0.15 |au20 0.17 |au25 -0.00 |au26 -0.14 |au43 -0.00|
25em1_25.2.png: |PSPI 0.75 |au4 0.41 |au6 -0.11 |au7 0.36 |au9 -0.04 |au10 0.02 |au12 0.10 |au20 0.16 |au25 0.21 |au26 -0.12 |au43 0.08|
10em1_10.6.png: |PSPI 3.06 |au4 0.08 |au6 -0.08 |au7 0.05 |au9 0.14 |au10 2.92 |au12 -0.01 |au20 -0.02 |au25 -0.01 |au26 -0.06 |au43 0.02|
10em1_10.2.png: |PSPI 0.99 |au4 0.23 |au6 -0.07 |au7 0.24 |au9 0.11 |au10 0.47 |au12 0.12 |au20 -0.00 |au25 0.01 |au26 -0.09 |au43 0.04|
25em1_25.6.png: |PSPI 0.35 |au4 0.31 |au6 -0.11 |au7 0.14 |au9 -0.04 |au10 -0.00 |au12 0.00 |au20 0.05 |au25 1.80 |au26 -0.10 |au43 0.02|
6em1_6.6.png: |PSPI 2.78 |au4 0.18 |au6 1.38 |au7 1.29 |au9 -0.08 |au10 0.01 |au12 0.09 |au20 0.06 |au25 -0.03 |au26 -0.21 |au43 -0.04|
12em1_12.8.png: |PSPI 0.13 |au4 0.05 |au6 -0.10 |au7 0.21 |au9 -0.02 |au10 -0.06 |au12 4.20 |au20 -0.05 |au25 0.01 |au26 -0.08 |au43 0.01|
26em1_26.2.png: |PSPI 0.88 |au4 0.49 |au6 -0.10 |au7 0.45 |au9 -0.03 |au10 0.00 |au12 0.02 |au20 0.07 |au25 0.14 |au26 -0.04 |au43 0.05|
9em1_9.8.png: |PSPI 4.40 |au4 0.39 |au6 -0.03 |au7 0.01 |au9 4.11 |au10 0.02 |au12 0.04 |au20 0.04 |au25 -0.03 |au26 -0.14 |au43 -0.02|
7em1_7.10.png: |PSPI 4.66 |au4 0.15 |au6 -0.12 |au7 4.58 |au9 -0.06 |au10 0.01 |au12 0.05 |au20 0.02 |au25 -0.03 |au26 -0.19 |au43 0.04|
7em1_7.8.png: |PSPI 4.36 |au4 0.18 |au6 -0.18 |au7 4.28 |au9 -0.06 |au10 0.01 |au12 0.05 |au20 0.03 |au25 -0.02 |au26 -0.19 |au43 0.06|
6em1_6.4.png: |PSPI 1.86 |au4 0.24 |au6 0.49 |au7 1.17 |au9 -0.05 |au10 0.03 |au12 0.13 |au20 0.11 |au25 -0.02 |au26 -0.17 |au43 -0.03|
12em1_12.10.png: |PSPI 0.13 |au4 0.04 |au6 -0.11 |au7 0.22 |au9 -0.03 |au10 -0.05 |au12 5.10 |au20 -0.06 |au25 0.01 |au26 -0.09 |au43 0.02|
